timestamp,uptime_sec,gpu_vram,gpu_temp,total_msgs,done_tasks,blocked_count,pm_lines,eng_lines
2026-09-18T22:51:38.590046,1.99,N/A(driver_offline),N/A,20,1,12,10,10
2026-09-18T22:51:40.541078,3.94,N/A(driver_offline),N/A,40,2,12,20,20
2026-09-18T22:51:42.567157,5.97,N/A(driver_offline),N/A,61,3,13,30,31
2026-09-18T22:51:44.474929,7.88,N/A(driver_offline),N/A,81,4,13,40,41
2026-09-18T22:51:46.429722,9.83,N/A(driver_offline),N/A,101,5,13,50,51
2026-09-18T22:51:48.492584,11.90,N/A(driver_offline),N/A,122,6,14,60,62
2026-09-18T22:51:50.514671,13.92,N/A(driver_offline),N/A,142,7,14,70,72
2026-09-18T22:51:52.491337,15.89,N/A(driver_offline),N/A,163,8,15,80,83
2026-09-18T22:51:54.559317,17.96,N/A(driver_offline),N/A,183,10,15,90,93
2026-09-18T22:51:56.585393,19.99,N/A(driver_offline),N/A,203,11,15,100,103
2026-09-18T22:51:57.596654,21.00,N/A(driver_offline),N/A,214,11,16,105,109
